C5-62;N52°49'56.09373";E4°41'37.90704";46.498;;19-10-2021 5:27:30.000
C5-63;N52°49'56.09375";E4°41'37.90706";46.498;;19-10-2021 5:27:31.000
C5-64;N52°49'56.09389";E4°41'37.90701";46.500;;19-10-2021 5:27:32.000
C5-65;N52°49'56.09386";E4°41'37.90709";46.500;;19-10-2021 5:27:33.000
C5-66;N52°49'56.09380";E4°41'37.90703";46.496;;19-10-2021 5:27:34.000
C5-67;N52°49'56.09377";E4°41'37.90712";46.500;;19-10-2021 5:27:35.000
C5-68;N52°49'56.09380";E4°41'37.90706";46.492;;19-10-2021 5:27:36.000
C5-69;N52°49'56.09370";E4°41'37.90713";46.499;;19-10-2021 5:27:37.000
C5-70;N52°49'56.09389";E4°41'37.90688";46.489;;19-10-2021 5:27:38.000
C5-71;N52°49'56.09370";E4°41'37.90716";46.499;;19-10-2021 5:27:39.000
C5-72;N52°49'56.09385";E4°41'37.90705";46.496;;19-10-2021 5:27:40.000
C5-73;N52°49'56.09371";E4°41'37.90710";46.497;;19-10-2021 5:27:41.000
C5-74;N52°49'56.09370";E4°41'37.90710";46.498;;19-10-2021 5:27:42.000
C5-75;N52°49'56.09372";E4°41'37.90716";46.499;;19-10-2021 5:27:43.000
C5-76;N52°49'56.09368";E4°41'37.90706";46.498;;19-10-2021 5:27:44.000
C5-77;N52°49'56.09367";E4°41'37.90704";46.501;;19-10-2021 5:27:45.000
C5-78;N52°49'56.09370";E4°41'37.90706";46.494;;19-10-2021 5:27:46.000
C5-79;N52°49'56.09366";E4°41'37.90703";46.501;;19-10-2021 5:27:47.000
C5-80;N52°49'56.09367";E4°41'37.90707";46.499;;19-10-2021 5:27:48.000
C5-81;N52°49'56.09374";E4°41'37.90696";46.500;;19-10-2021 5:27:49.000
C5-82;N52°49'56.09368";E4°41'37.90700";46.497;;19-10-2021 5:27:50.000
C5-83;N52°49'56.09378";E4°41'37.90703";46.500;;19-10-2021 5:27:51.000
C5-84;N52°49'56.09371";E4°41'37.90706";46.501;;19-10-2021 5:27:52.000
C5-85;N52°49'56.09375";E4°41'37.90687";46.494;;19-10-2021 5:27:53.000
C5-86;N52°49'56.09372";E4°41'37.90685";46.498;;19-10-2021 5:27:54.000
C5-87;N52°49'56.09369";E4°41'37.90692";46.501;;19-10-2021 5:27:55.000
C5-88;N52°49'56.09373";E4°41'37.90698";46.502;;19-10-2021 5:27:56.000
C5-89;N52°49'56.09381";E4°41'37.90693";46.501;;19-10-2021 5:27:57.000
C5-90;N52°49'56.09380";E4°41'37.90697";46.495;;19-10-2021 5:27:58.000
C5-91;N52°49'56.09377";E4°41'37.90693";46.498;;19-10-2021 5:27:59.000
C5-92;N52°49'56.09357";E4°41'37.90680";46.498;;19-10-2021 5:28:00.000
C5-93;N52°49'56.09367";E4°41'37.90686";46.494;;19-10-2021 5:28:01.000
C5-94;N52°49'56.09366";E4°41'37.90679";46.497;;19-10-2021 5:28:02.000
C5-95;N52°49'56.09371";E4°41'37.90678";46.498;;19-10-2021 5:28:03.000
C5-96;N52°49'56.09374";E4°41'37.90684";46.496;;19-10-2021 5:28:04.000
C5-97;N52°49'56.09368";E4°41'37.90682";46.492;;19-10-2021 5:28:05.000
C5-98;N52°49'56.09374";E4°41'37.90670";46.492;;19-10-2021 5:28:06.000
C5-99;N52°49'56.09365";E4°41'37.90673";46.495;;19-10-2021 5:28:07.000
C5-100;N52°49'56.09377";E4°41'37.90675";46.492;;19-10-2021 5:28:08.000
C5-101;N52°49'56.09371";E4°41'37.90678";46.495;;19-10-2021 5:28:09.000
C5-102;N52°49'56.09376";E4°41'37.90684";46.493;;19-10-2021 5:28:10.000
C5-103;N52°49'56.09381";E4°41'37.90669";46.491;;19-10-2021 5:28:11.000
C5-104;N52°49'56.09383";E4°41'37.90678";46.495;;19-10-2021 5:28:12.000
C5-105;N52°49'56.09377";E4°41'37.90674";46.495;;19-10-2021 5:28:13.000
C5-106;N52°49'56.09385";E4°41'37.90673";46.496;;19-10-2021 5:28:14.000
C5-107;N52°49'56.09374";E4°41'37.90671";46.500;;19-10-2021 5:28:15.000
C5-108;N52°49'56.09389";E4°41'37.90674";46.497;;19-10-2021 5:28:16.000
C5-109;N52°49'56.09381";E4°41'37.90684";46.492;;19-10-2021 5:28:17.000
C5-110;N52°49'56.09376";E4°41'37.90696";46.496;;19-10-2021 5:28:18.000
C5-111;N52°49'56.09389";E4°41'37.90680";46.493;;19-10-2021 5:28:19.000
C5-112;N52°49'56.09377";E4°41'37.90680";46.493;;19-10-2021 5:28:20.000
C5-113;N52°49'56.09384";E4°41'37.90687";46.497;;19-10-2021 5:28:21.000
C5-114;N52°49'56.09383";E4°41'37.90679";46.494;;19-10-2021 5:28:22.000
C5-115;N52°49'56.09404";E4°41'37.90671";46.490;;19-10-2021 5:28:23.000
C5-116;N52°49'56.09388";E4°41'37.90669";46.495;;19-10-2021 5:28:24.000
C5-117;N52°49'56.09392";E4°41'37.90680";46.496;;19-10-2021 5:28:25.000
C5-118;N52°49'56.09386";E4°41'37.90694";46.500;;19-10-2021 5:28:26.000
C5-119;N52°49'56.09398";E4°41'37.90668";46.497;;19-10-2021 5:28:27.000
C5-120;N52°49'56.09397";E4°41'37.90681";46.491;;19-10-2021 5:28:28.000
C5-121;N52°49'56.09378";E4°41'37.90673";46.495;;19-10-2021 5:28:29.000
C5-122;N52°49'56.09379";E4°41'37.90673";46.494;;19-10-2021 5:28:30.000
C5-123;N52°49'56.09400";E4°41'37.90668";46.489;;19-10-2021 5:28:31.000
C5-124;N52°49'56.09404";E4°41'37.90676";46.489;;19-10-2021 5:28:32.000
C5-125;N52°49'56.09401";E4°41'37.90683";46.495;;19-10-2021 5:28:33.000
C5-126;N52°49'56.09403";E4°41'37.90664";46.491;;19-10-2021 5:28:34.000
C5-127;N52°49'56.09399";E4°41'37.90671";46.490;;19-10-2021 5:28:35.000
C5-128;N52°49'56.09402";E4°41'37.90661";46.487;;19-10-2021 5:28:36.000
C5-129;N52°49'56.09389";E4°41'37.90666";46.492;;19-10-2021 5:28:37.000
C5-130;N52°49'56.09408";E4°41'37.90680";46.483;;19-10-2021 5:28:38.000
C5-131;N52°49'56.09406";E4°41'37.90683";46.488;;19-10-2021 5:28:39.000
C5-132;N52°49'56.09409";E4°41'37.90668";46.491;;19-10-2021 5:28:40.000
C5-133;N52°49'56.09396";E4°41'37.90672";46.487;;19-10-2021 5:28:41.000
C5-134;N52°49'56.09402";E4°41'37.90673";46.490;;19-10-2021 5:28:42.000
C5-135;N52°49'56.09406";E4°41'37.90666";46.487;;19-10-2021 5:28:43.000
C5-136;N52°49'56.09420";E4°41'37.90660";46.486;;19-10-2021 5:28:44.000
C5-137;N52°49'56.09400";E4°41'37.90676";46.488;;19-10-2021 5:28:45.000
C5-138;N52°49'56.09426";E4°41'37.90674";46.486;;19-10-2021 5:28:46.000
C5-139;N52°49'56.09407";E4°41'37.90668";46.485;;19-10-2021 5:28:47.000
C5-140;N52°49'56.09394";E4°41'37.90682";46.491;;19-10-2021 5:28:48.000
C5-141;N52°49'56.09406";E4°41'37.90683";46.486;;19-10-2021 5:28:49.000
C5-142;N52°49'56.09420";E4°41'37.90670";46.482;;19-10-2021 5:28:50.000
C5-143;N52°49'56.09409";E4°41'37.90677";46.487;;19-10-2021 5:28:51.000
C5-144;N52°49'56.09405";E4°41'37.90682";46.488;;19-10-2021 5:28:52.000
C5-145;N52°49'56.09406";E4°41'37.90663";46.485;;19-10-2021 5:28:53.000
C5-146;N52°49'56.09407";E4°41'37.90675";46.490;;19-10-2021 5:28:54.000
C5-147;N52°49'56.09395";E4°41'37.90683";46.487;;19-10-2021 5:28:55.000
C5-148;N52°49'56.09415";E4°41'37.90668";46.488;;19-10-2021 5:28:56.000
C5-149;N52°49'56.09415";E4°41'37.90682";46.488;;19-10-2021 5:28:57.000
C5-150;N52°49'56.09394";E4°41'37.90685";46.491;;19-10-2021 5:28:58.000
C5-151;N52°49'56.09394";E4°41'37.90686";46.492;;19-10-2021 5:28:59.000
C5-152;N52°49'56.09407";E4°41'37.90686";46.492;;19-10-2021 5:29:00.000
C5-153;N52°49'56.09396";E4°41'37.90682";46.498;;19-10-2021 5:29:01.000
C5-154;N52°49'56.09408";E4°41'37.90700";46.496;;19-10-2021 5:29:02.000
C5-155;N52°49'56.09401";E4°41'37.90683";46.490;;19-10-2021 5:29:03.000
C5-156;N52°49'56.09403";E4°41'37.90683";46.493;;19-10-2021 5:29:04.000
C5-157;N52°49'56.09399";E4°41'37.90693";46.495;;19-10-2021 5:29:05.000
C5-158;N52°49'56.09394";E4°41'37.90698";46.490;;19-10-2021 5:29:06.000
C5-159;N52°49'56.09395";E4°41'37.90691";46.491;;19-10-2021 5:29:07.000
C5-160;N52°49'56.09391";E4°41'37.90687";46.497;;19-10-2021 5:29:08.000
C5-161;N52°49'56.09394";E4°41'37.90686";46.493;;19-10-2021 5:29:09.000
C5-162;N52°49'56.09399";E4°41'37.90684";46.493;;19-10-2021 5:29:10.000
C5-163;N52°49'56.09396";E4°41'37.90691";46.494;;19-10-2021 5:29:11.000
C5-164;N52°49'56.09389";E4°41'37.90684";46.495;;19-10-2021 5:29:12.000
C5-165;N52°49'56.09397";E4°41'37.90682";46.500;;19-10-2021 5:29:13.000
C5-166;N52°49'56.09392";E4°41'37.90694";46.500;;19-10-2021 5:29:14.000
C5-167;N52°49'56.09404";E4°41'37.90680";46.492;;19-10-2021 5:29:15.000
C5-168;N52°49'56.09393";E4°41'37.90692";46.498;;19-10-2021 5:29:16.000
C5-169;N52°49'56.09399";E4°41'37.90686";46.494;;19-10-2021 5:29:17.000
C5-170;N52°49'56.09398";E4°41'37.90689";46.497;;19-10-2021 5:29:18.000
C5-171;N52°49'56.09388";E4°41'37.90688";46.494;;19-10-2021 5:29:19.000
C5-172;N52°49'56.09389";E4°41'37.90696";46.491;;19-10-2021 5:29:20.000
C5-173;N52°49'56.09395";E4°41'37.90691";46.499;;19-10-2021 5:29:21.000
C5-174;N52°49'56.09383";E4°41'37.90677";46.502;;19-10-2021 5:29:22.000
C5-175;N52°49'56.09385";E4°41'37.90681";46.499;;19-10-2021 5:29:23.000
C5-176;N52°49'56.09376";E4°41'37.90700";46.497;;19-10-2021 5:29:24.000
C5-177;N52°49'56.09396";E4°41'37.90682";46.496;;19-10-2021 5:29:25.000
C5-178;N52°49'56.09390";E4°41'37.90698";46.500;;19-10-2021 5:29:26.000
C5-179;N52°49'56.09394";E4°41'37.90686";46.498;;19-10-2021 5:29:27.000
C5-180;N52°49'56.09391";E4°41'37.90697";46.495;;19-10-2021 5:29:28.000
C5-181;N52°49'56.09386";E4°41'37.90674";46.500;;19-10-2021 5:29:29.000
C5-182;N52°49'56.09396";E4°41'37.90675";46.498;;19-10-2021 5:29:30.000
C5-183;N52°49'56.09402";E4°41'37.90680";46.500;;19-10-2021 5:29:31.000
C5-184;N52°49'56.09401";E4°41'37.90682";46.498;;19-10-2021 5:29:32.000
C5-185;N52°49'56.09404";E4°41'37.90674";46.494;;19-10-2021 5:29:33.000
C5-186;N52°49'56.09403";E4°41'37.90678";46.500;;19-10-2021 5:29:34.000
C5-187;N52°49'56.09410";E4°41'37.90682";46.495;;19-10-2021 5:29:35.000
C5-188;N52°49'56.09415";E4°41'37.90675";46.501;;19-10-2021 5:29:36.000
C5-189;N52°49'56.09394";E4°41'37.90668";46.501;;19-10-2021 5:29:37.000
C5-190;N52°49'56.09392";E4°41'37.90689";46.505;;19-10-2021 5:29:38.000
C5-191;N52°49'56.09403";E4°41'37.90686";46.501;;19-10-2021 5:29:39.000
C5-192;N52°49'56.09396";E4°41'37.90683";46.500;;19-10-2021 5:29:40.000
C5-193;N52°49'56.09414";E4°41'37.90680";46.496;;19-10-2021 5:29:41.000
C5-194;N52°49'56.09399";E4°41'37.90680";46.500;;19-10-2021 5:29:42.000
C5-195;N52°49'56.09410";E4°41'37.90666";46.497;;19-10-2021 5:29:43.000
C5-196;N52°49'56.09397";E4°41'37.90680";46.500;;19-10-2021 5:29:44.000
C5-197;N52°49'56.09393";E4°41'37.90681";46.496;;19-10-2021 5:29:45.000
C5-198;N52°49'56.09394";E4°41'37.90682";46.497;;19-10-2021 5:29:46.000
C5-199;N52°49'56.09404";E4°41'37.90680";46.499;;19-10-2021 5:29:47.000
C5-200;N52°49'56.09408";E4°41'37.90677";46.496;;19-10-2021 5:29:48.000
C5-201;N52°49'56.09397";E4°41'37.90683";46.498;;19-10-2021 5:29:49.000
C5-202;N52°49'56.09392";E4°41'37.90675";46.499;;19-10-2021 5:29:50.000
C5-203;N52°49'56.09411";E4°41'37.90677";46.500;;19-10-2021 5:29:51.000
C5-204;N52°49'56.09396";E4°41'37.90683";46.501;;19-10-2021 5:29:52.000
C5-205;N52°49'56.09414";E4°41'37.90679";46.501;;19-10-2021 5:29:53.000
C5-206;N52°49'56.09403";E4°41'37.90670";46.497;;19-10-2021 5:29:54.000
C5-207;N52°49'56.09407";E4°41'37.90683";46.498;;19-10-2021 5:29:55.000
C5-208;N52°49'56.09408";E4°41'37.90676";46.499;;19-10-2021 5:29:56.000
C5-209;N52°49'56.09401";E4°41'37.90670";46.503;;19-10-2021 5:29:57.000
C5-210;N52°49'56.09406";E4°41'37.90677";46.500;;19-10-2021 5:29:58.000
C5-211;N52°49'56.09394";E4°41'37.90680";46.505;;19-10-2021 5:29:59.000
C5-212;N52°49'56.09401";E4°41'37.90669";46.507;;19-10-2021 5:30:00.000
C5-213;N52°49'56.09410";E4°41'37.90674";46.498;;19-10-2021 5:30:01.000
C5-214;N52°49'56.09407";E4°41'37.90675";46.499;;19-10-2021 5:30:02.000
C5-215;N52°49'56.09408";E4°41'37.90680";46.500;;19-10-2021 5:30:03.000
C5-216;N52°49'56.09395";E4°41'37.90682";46.502;;19-10-2021 5:30:04.000
